Species,Islands,status,colony_ID,linear,max_linear,planar,planar_cm2,area2022,area2023,area,area_cm2,volume,volume_cm2,density,calcification_cm2
Isopora,Passe,high,61,1,2.3,75.18,0.66,254.27,670.42,237,0.93,273,1.07,1.52,1.63
Isopora,Passe,high,62,0.7,1.88,31.61,0.42,284.19,431.3,84,0.3,185,0.65,1.45,0.95
Isopora,Passe,high,63,0.81,2.29,84.33,0.49,530.2,1264.2,419,0.79,381,0.72,1.48,1.06
Isopora,Passe,high,64,1.16,2.62,45.9,1.02,126.97,442.59,180,1.42,183,1.44,1.38,1.99
Isopora,Passe,high,66,0.55,2.05,26.52,0.26,764.47,1198.97,248,0.32,353,0.46,1.33,0.61
Isopora,Passe,high,67,1,2.35,96.84,0.77,736.67,1612.77,500,0.68,666,0.9,1.36,1.23
Isopora,Passe,high,68,0.9,1.87,43.64,0.6,246.99,645.46,227,0.92,247,1,1.47,1.47
Isopora,Passe,high,69,0.66,1.78,49.68,0.67,211,496.28,163,0.77,161,0.76,1.5,1.14
Isopora,Anglaise,low,71,0.57,1.59,41.53,0.28,722.89,1032.69,177,0.25,399,0.55,1.59,0.88
Isopora,Anglaise,low,72,0.32,1.01,16.07,0.16,424.57,517.4,53,0.13,118,0.28,1.71,0.48
Isopora,Anglaise,low,73,0.47,1.68,17.12,0.31,417.18,621.8,117,0.28,175,0.42,1.59,0.67
Isopora,Anglaise,low,75,0.58,1.82,60.53,0.37,1047.19,1536.29,279,0.27,392,0.37,1.67,0.62
Isopora,Anglaise,low,76,0.94,2.25,85.1,0.45,637.36,1255.83,353,0.55,506,0.79,1.32,1.05
Isopora,Anglaise,low,77,1.47,3.32,78.37,1,274.43,979.53,403,1.47,300,1.09,1.24,1.36
Isopora,Anglaise,low,78,0.39,1.64,32.27,0.17,981.54,1294.24,179,0.18,365,0.37,1.62,0.6
Acropora,Anglaise,low,11,1.38,1.38,23.67,0.42,274.6,507.52,214.69,0.78,512.64,1.87,1.28,2.39
Acropora,Anglaise,low,92,2.73,2.73,82.58,0.59,929.64,1916.8,909.88,0.98,1501.82,1.62,1.51,2.43
Acropora,Anglaise,low,93,1.55,1.55,38.02,0.36,556.12,941.96,355.64,0.64,870.09,1.56,1.79,2.8
Acropora,Anglaise,low,14,1.18,1.18,27,0.66,168.4,318.66,138.49,0.82,422.29,2.51,1.46,3.65
Acropora,Anglaise,low,42,2.06,2.06,51.32,0.87,309.44,713.05,372.02,1.2,690.08,2.23,1.48,3.29
Acropora,Anglaise,low,94,3.48,3.48,101.2,1.28,426.56,1352.23,853.21,2,2376.89,5.57,1.27,7.06
Acropora,Passe,high,48,8.57,8.57,586.57,3.3,911.14,5497.16,4248.47,4.66,6358.49,6.98,1.3,9.1
Acropora,Passe,high,1,5.46,5.46,202.65,2.52,358.65,1977.78,1499.96,4.18,3990.91,11.13,1.09,12.08
Acropora,Passe,high,19,6.14,6.14,254.24,2.85,351.64,2265.73,1777.71,5.06,3328.61,9.47,1.24,11.74
Acropora,Passe,high,33,4.11,4.11,143.41,2.86,188.42,1012.65,763.56,4.05,3423.3,18.17,1.08,19.66
Acropora,Passe,high,70,9.37,9.37,340.09,2.99,625.99,5235.01,4269.77,6.82,5178.44,8.27,1.03,8.5
Acropora,Passe,high,93,4.81,4.81,224.59,1.07,1258.93,3575.72,2151.73,1.71,2986.44,2.37,1.1,2.6
